id,problem_ids,type,source,url,timestamp_section,evidence,applicability,conflict_limit,experiment
V01,4,VIDEO,Game-Ready Hair Cards in Blender,https://www.youtube.com/watch?v=3bw2SnKQhwA,"01:10;07:10;13:00;16:13;18:30;19:35;21:06","Layered hair cards; root transition; bangs/bun; reduce curve resolution before mesh","Hair generator and variants","No fixed 1800-tri recipe","Adaptive curve segments + visual-function budget"
V02,"1;2",VIDEO,Full Character UV Unwrap in Blender,https://www.youtube.com/watch?v=gzAWTOUig3s,"00:46;06:27;07:50;08:43","Hidden seams; Angle Based; larger face UV; manual packing","Body/face UV gate","Does not resolve MPFB shape-key transfer","Native hm08 UV first; transfer only if needed"
V03,4,VIDEO,Hair Card Studio,https://www.youtube.com/watch?v=GEpJLXyFz10,"01:25;05:20;07:50","Points/thickness/density/curl controls; presets; card maps","Hair atlas/archetypes","Tool does not define project mobile budget","4-6 card archetypes + adaptive points"
V04,"5;11;12",VIDEO,Modular Armor AI→Blender→Unity,https://www.youtube.com/watch?v=n90VvHeGf48,"07:34;20:42;24:09;28:07;30:40","Naive exploded armor creates gaps; matching body+armor boundaries; hide underlying body region","Key modular gear evidence","Tutorial contains rigging compromises","Preserve body-region↔gear-slot contract"
V05,"5;6;7;13",VIDEO,Armor and Accessories in Blender,https://www.youtube.com/watch?v=9gdRo9hy-wM,"armor;straps;cloth;helmet","Joint-crossing armor correlated to base body; straps/cloth separate","Body-correlated removable shells","Tutorial sometimes integrates breastplate with body; AETHERQOR cannot","Derive removable shell from body + transfer weights"
V06,"2;3;4;5",VIDEO,2D Image to Stylized Character,https://www.youtube.com/watch?v=Lw70aXMD90Y,"03:17;03:41;03:56;06:19;07:20","Retopo/UV; layered face paint; body-based tight clothing; eye cues","Face/underwear/hair/eyes","Stylized/Cycles choices not mobile shader spec","Procedural masks + body landmarks"
V07,"1;2;3;6;9",VIDEO,Full Realistic Character Workflow,https://www.youtube.com/watch?v=BUVMW-vdp4A,"07:34;12:23;14:46;19:43;23:41;29:05;35:02","Design before retopo; functional loops; reprojection; separated maps; iterative render validation","Silhouette/face/retopo principles","UDIM/Cycles not copied to mobile","Design gate before technical retopo"
V08,"1;6",VIDEO,Retopology Correct Way,https://www.youtube.com/watch?v=CuQzPDs99yM,"05:31;24:23","Shrinkwrap+snap; raw polygons; minimal loops first; avoid Subdivision illusion","Retopo QA","General character retopo not thin-shell algorithm","Raw-cage gate + branch retopo"
V09,3,VIDEO,Game Ready Eyes Blender→Unreal,https://www.youtube.com/watch?v=97nGK7wBGQI,full,"Cornea/sclera/iris split; UV names; transform/group cleanup; rig/export","Eye asset organization","Unreal shader values not portable to URP","EYE_LITE/EYE_MID Unity tests"
V10,10,VIDEO,VFX Graph Learning Templates,https://www.youtube.com/watch?v=DKVdg8DsIVY,"01:36;03:29;04:10;05:38;05:56;06:20;08:00;11:28;13:46;15:18;16:20;17:40","Contexts; bounds/capacity; mesh/skinned sampling; collisions; GPU events; strips","Skill VFX architecture","Mobile requires benchmark/fallback","VFX Graph lab + Particle/Shader fallback"
O01,"1;11",OFFICIAL,MPFB HumanService,https://github.com/makehumancommunity/mpfb2/blob/master/docs/services/humanservice.md,API,"create_human; serialization/deserialization; rigs/assets","Regenerate clean female from actual preset","Must inspect installed API version","Recreate F on hm08"
O02,1,OFFICIAL,MPFB basemesh/helpers,https://static.makehumancommunity.org/mpfb/docs/assets/basemesh_and_helpers.html,docs,"Basemesh has same vertex/face count independent of shape; hm08","Supports clean rebuild decision","Does not identify old corrupting step","Forensic diff M/F"
O03,"1;11;12",OFFICIAL,MPFB complete FBX sample,https://github.com/makehumancommunity/mpfb2/blob/master/script_samples/index.md,10_complete_character_export_fbx.py,"ExportService staging copy; bake modifiers; strip helpers","Correct export reference","Installed API can differ","Mirror installed sample"
O04,1,OFFICIAL,Blender 5.2 Data Transfer,https://docs.blender.org/manual/en/5.2/modeling/modifiers/modify/data_transfer.html,Interpolated mappings,"Vertex groups/UV transfer; Nearest/Projected Face Interpolated; Max Distance","Weights/UV A/B","Shape keys separate","Metric-based transfer"
O05,6,OFFICIAL,Blender 5.2 Decimate,https://docs.blender.org/manual/en/5.2/modeling/modifiers/generate/decimate.html,Planar,"Planar reduces mainly flat forms; Delimit Material/Seam/Sharp/UV","Thin plate candidate","Not a complete auto-retopo solution","THIN_SHELL branch"
O06,11,OFFICIAL,Unity 6 Humanoid Retargeting,https://docs.unity3d.com/6000.0/Documentation/Manual/Retargeting.html,manual,"Same humanoid animations can be retargeted across models with configured Avatar","55 vs 72 does not force duplicate locomotion","Extra bones still need classification","Shared-controller proof"
O07,12,OFFICIAL,Unity 6 URP channel packing,https://docs.unity3d.com/6000.0/Documentation/Manual/urp/shaders-in-universalrp-channel-packed-texture.html,manual,"R Metallic; G Occlusion; B unused; A Smoothness; sRGB off","AssetPostprocessor contract",,Pack/import gate
O08,10,OFFICIAL,Unity 6 AnimationEvent,https://docs.unity3d.com/6000.0/Documentation/ScriptReference/AnimationEvent.html,API,"Calls script function at animation point with zero/one parameter","Skill marker timing",,"One controlled marker route"
O09,10,OFFICIAL,Unity 6 Visual Effect Graph,https://docs.unity3d.com/6000.0/Documentation/Manual/com.unity.visualeffectgraph.html,manual,"Production-ready HDRP; full URP/mobile support still in development","Requires mobile fallback/benchmark",,"Dual-path VFX policy"
