# slug|primary_url|fallback1_url|fallback2_url|topic
p1_trim_planning|https://www.youtube.com/watch?v=DipfrjCgYW8|https://www.youtube.com/watch?v=dE4LWGMwypc|https://www.youtube.com/watch?v=AqwMVuOWT88|P1 tier architecture: trim-sheet planning for maximum reuse and reduced texture-set explosion
p1_trim_bake_masks|https://www.youtube.com/watch?v=CarefswACgs|https://www.youtube.com/watch?v=Tspveb9bjYA|https://www.youtube.com/watch?v=qEuGyIkvKx4|P1 tier architecture: bake, masks, material IDs and reusable detail rather than unique tier textures
p1_trim_uv_reuse|https://www.youtube.com/watch?v=VEHsZniXguY|https://www.youtube.com/watch?v=IziIY674NAw|https://www.youtube.com/watch?v=uUJShalzWy8|P1 tier architecture: UV reuse, shared texture space, trim mapping and scalable modular content
p1_character_material_merge|https://www.youtube.com/watch?v=xGM1trJDHz8|https://www.youtube.com/watch?v=IrYPkSIvpIw|https://www.youtube.com/watch?v=vU3au56UV_E|P1/P4 character material merging, atlas strategy, mesh/material count and draw-call consequences
p2_small_detail_bake|https://www.youtube.com/watch?v=Yxr7RZgOB5M|https://www.youtube.com/watch?v=wCZcYKI-tGg|https://www.youtube.com/watch?v=UEeDBndWwys|P2 rings buckles amulets: geometry versus high-to-low bake and what survives at game resolution
p2_gameplay_lod_readability|https://www.youtube.com/watch?v=VlUVzdrEzVg|https://www.youtube.com/watch?v=kGEWpJU9Cj4|https://www.youtube.com/watch?v=hS8xKZGF0U4|P2 small accessory visibility and geometry allocation by gameplay screen size and LOD context
p3_urp_emission|https://www.youtube.com/watch?v=KLuyf9gqCik|https://www.youtube.com/watch?v=qTYOWRWuBQg|https://www.youtube.com/watch?v=A6mdaOySVQM|P3 enhancement +0..+10: URP emission/glow using existing material/shader properties instead of particle VFX
p3_runtime_material_parameters|https://www.youtube.com/watch?v=A6mdaOySVQM|https://www.youtube.com/watch?v=KLuyf9gqCik|https://www.youtube.com/watch?v=qTYOWRWuBQg|P3 runtime enhancement state: changing material parameters without spawning separate material architecture
p4_draw_calls|https://www.youtube.com/watch?v=IrYPkSIvpIw|https://www.youtube.com/watch?v=vU3au56UV_E|https://www.youtube.com/watch?v=xGM1trJDHz8|P4 Unity draw calls, batching, texture atlas and mesh-combining tradeoffs for modular characters
p4_material_merge_mobile|https://www.youtube.com/watch?v=xGM1trJDHz8|https://www.youtube.com/watch?v=dE4LWGMwypc|https://www.youtube.com/watch?v=DipfrjCgYW8|P4 mobile material consolidation: many meshes/materials to compact character render state
p4_modular_seams_runtime|https://www.youtube.com/watch?v=eqyrdKu_yKk|https://www.youtube.com/watch?v=IrYPkSIvpIw|https://www.youtube.com/watch?v=vU3au56UV_E|P4 modular equipment boundaries and when to keep slots separate versus aggregate after equip
p5_riot_character_readability|https://www.youtube.com/watch?v=PfpE5dNTWeI|https://www.youtube.com/watch?v=vuXxfnCM56A|https://www.youtube.com/watch?v=YaDIbe2GeCY|P5 class recognition: silhouette, proportion, anchor readability and game-view identity
p5_topdown_readability|https://www.youtube.com/watch?v=kGEWpJU9Cj4|https://www.youtube.com/watch?v=PfpE5dNTWeI|https://www.youtube.com/watch?v=nk2wViKSh_M|P5 top-down gameplay readability, screen-size simplification and identity cues beyond IoU
p5_art_bible_clarity|https://www.youtube.com/watch?v=vuXxfnCM56A|https://www.youtube.com/watch?v=YaDIbe2GeCY|https://www.youtube.com/watch?v=PfpE5dNTWeI|P5 art-bible production rules: repeatable class identity, areas of rest, color/value and silhouette hierarchy
