# slug|primary_url|fallback_url_1|fallback_url_2|topic
p1_mobile_context|https://www.youtube.com/watch?v=DU_IoXQ49rM|https://www.youtube.com/watch?v=yoMMDbDSjAk|https://www.youtube.com/watch?v=kGEWpJU9Cj4|P1 mobile character optimization: multiple quality variants, screen-space context, rig and geometry reduction
p1_screen_size_lod|https://www.youtube.com/watch?v=yoMMDbDSjAk|https://www.youtube.com/watch?v=kGEWpJU9Cj4|https://www.youtube.com/watch?v=841kll01PgM|P1 reduction target by on-screen size rather than one universal triangle count
p1_quad_character|https://www.youtube.com/watch?v=1BbIc8ZMquI|https://www.youtube.com/watch?v=841kll01PgM|https://www.youtube.com/watch?v=kGEWpJU9Cj4|P1 close character LOD topology preservation and artist-controlled reduction
p2_rigid_shell_game_res|https://www.youtube.com/watch?v=hQhTGMk47qI|https://www.youtube.com/watch?v=CiL5MKvpQA0|https://www.youtube.com/watch?v=hS8xKZGF0U4|P2 game-resolution armor shell construction: where thickness and edge geometry are actually needed
p3_blender_decimate_weights|https://www.youtube.com/watch?v=JzQC_xtFV0E|https://www.youtube.com/watch?v=N4QY-1Vf6LM|https://www.youtube.com/watch?v=841kll01PgM|P3 Blender/free controlled decimation, feature preservation and protected reduction
p3_modular_seams|https://www.youtube.com/watch?v=eqyrdKu_yKk|https://www.youtube.com/watch?v=841kll01PgM|https://www.youtube.com/watch?v=kGEWpJU9Cj4|P3 deterministic modular seam preservation during independent part reduction
p4_hair_layering|https://www.youtube.com/watch?v=MxOfDMIl97U|https://www.youtube.com/watch?v=QLGLjeIrjWE|https://www.youtube.com/watch?v=Fp4g0GlNFu0|P4 hair card layering: core coverage, primary shape, breakup and silhouette cards
p4_hair_rows|https://www.youtube.com/watch?v=Fp4g0GlNFu0|https://www.youtube.com/watch?v=MxOfDMIl97U|https://www.youtube.com/watch?v=QLGLjeIrjWE|P4 staggered hair-card rows, overlap regularity, curvature and card-length variation
p4_urp_hair|https://www.youtube.com/watch?v=EmU62lWMhSU|https://www.youtube.com/watch?v=MxOfDMIl97U|https://www.youtube.com/watch?v=QLGLjeIrjWE|P4 Unity URP hair transparency, alpha testing/blending, two-sided cards and motion behavior
p5_topdown_readability|https://www.youtube.com/watch?v=PfpE5dNTWeI|https://www.youtube.com/watch?v=kGEWpJU9Cj4|https://www.youtube.com/watch?v=PfpE5dNTWeI|P5 character silhouette and gameplay readability from small/top-down views
