# slug|url|topic
hair_cards_pixelica_2024|https://www.youtube.com/watch?v=3bw2SnKQhwA|Game-ready hair cards in Blender, roots, bangs, bun, curves to mesh
uv_character_pixelica_2025|https://www.youtube.com/watch?v=gzAWTOUig3s|Full character UV unwrap in Blender
hair_card_studio_pixelica_2026|https://www.youtube.com/watch?v=GEpJLXyFz10|Modern hair-card generation workflow in Blender
modular_armor_ai_blender_unity|https://www.youtube.com/watch?v=n90VvHeGf48|AI concept to modular wearable armor, Blender cleanup, Unity integration
armor_accessories_ironbark|https://www.youtube.com/watch?v=9gdRo9hy-wM|Armor, straps, accessories, cloth and hard-surface construction for a game character
full_character_pixelica|https://www.youtube.com/watch?v=Lw70aXMD90Y|Character sculpt, retopology, UV, skin, clothing, eyes and finishing workflow
realistic_character_flippednormals|https://www.youtube.com/watch?v=BUVMW-vdp4A|Realistic character workflow, retopology, UV, skin maps, shading and groom
retopology_flippednormals|https://www.youtube.com/watch?v=CuQzPDs99yM|Character retopology fundamentals and topology control in Blender
game_ready_eyes|https://www.youtube.com/watch?v=97nGK7wBGQI|Game-ready eye geometry and shader setup starting in Blender
unity_vfx_graph_templates|https://www.youtube.com/watch?v=DKVdg8DsIVY|Unity VFX Graph learning templates, skinned mesh sampling, collisions, strips and effect building
