# slug|primary_url|fallback1_url|fallback2_url|topic
a1_torso_shell_cleanup|https://www.youtube.com/watch?v=CiL5MKvpQA0|https://www.youtube.com/watch?v=h-_GhIbGuh8|https://www.youtube.com/watch?v=ROuPDJcC2Fo|A1 torso terrace diagnosis: clean shell construction, donor cleanup and replacing Z-slice loft without inventing form
a1_feature_preserving_surface|https://www.youtube.com/watch?v=u75skb32GTo|https://www.youtube.com/watch?v=XWflWTiOBhw|https://www.youtube.com/watch?v=ROuPDJcC2Fo|A1 feature-preserving hard-surface smoothing/remeshing after reconstruction; preserve intended edges and concavity while removing terrace noise
a2_curvature_bake|https://www.youtube.com/watch?v=Yxr7RZgOB5M|https://www.youtube.com/watch?v=wCZcYKI-tGg|https://www.youtube.com/watch?v=6D5tBEjS-N0|A2 geometry-space curvature/concavity bake versus texture-space cavity, UV seam behavior and mip stability
a2_uv_rebuild|https://www.youtube.com/watch?v=wCZcYKI-tGg|https://www.youtube.com/watch?v=Yxr7RZgOB5M|https://www.youtube.com/watch?v=UEeDBndWwys|A2 UV chart strategy for game armor, fewer islands, bake correctness and texel density
a3_boot_silhouette|https://www.youtube.com/watch?v=fhidSUb7A_w|https://www.youtube.com/watch?v=hQhTGMk47qI|https://www.youtube.com/watch?v=VlUVzdrEzVg|A3 footwear readability: sole, toe and heel as game-scale silhouette decisions and LOD preservation
a4_hair_shader_scale|https://www.youtube.com/watch?v=EmU62lWMhSU|https://www.youtube.com/watch?v=w8SjXHQ8ASY|https://www.youtube.com/watch?v=MxOfDMIl97U|A4 hair faceting remeasurement in Unity URP with anisotropic/specular behavior at true 90-300 px character scale
a4_hair_layer_structure|https://www.youtube.com/watch?v=Fp4g0GlNFu0|https://www.youtube.com/watch?v=QLGLjeIrjWE|https://www.youtube.com/watch?v=uSKwzcqeUPA|A4 hair card layer structure and breakup after scale/material confounds are controlled
a5_pauldron_source_audit|https://www.youtube.com/watch?v=h-_GhIbGuh8|https://www.youtube.com/watch?v=ROuPDJcC2Fo|https://www.youtube.com/watch?v=XWflWTiOBhw|A5 source mesh/component audit for anomalous Ember_M pauldron 15208 tri versus about 1052 elsewhere
b1_gender_refit|https://www.youtube.com/watch?v=62k9seQdARA|https://www.youtube.com/watch?v=PLWv9yjVaoU|https://www.youtube.com/watch?v=eC1d2VlgrAI|B1 male-to-female armor refit, clothing/armor transfer, deformation and preserving class identity
b1_gender_armor_design|https://www.youtube.com/watch?v=PfpE5dNTWeI|https://www.youtube.com/watch?v=fhidSUb7A_w|https://www.youtube.com/watch?v=hQhTGMk47qI|B1/C2 character form language: gender variant versus separate armor design while retaining class-readable primary features
b2_fbx_material_import|https://www.youtube.com/watch?v=A6mdaOySVQM|https://www.youtube.com/watch?v=xGM1trJDHz8|https://www.youtube.com/watch?v=KLuyf9gqCik|B2 Unity material ownership/remapping and runtime material architecture; video is supplemental to Unity importer documentation
b3_skinned_combine_1|https://www.youtube.com/watch?v=7_oaIHfUsOQ|https://www.youtube.com/watch?v=4zpR2DyRK7s|https://www.youtube.com/watch?v=lqxLVS9m2jQ|B3 combining modular SkinnedMeshRenderers, materials/submeshes and a shared skeleton
b3_skinned_combine_2|https://www.youtube.com/watch?v=cK7VCr5sb2g|https://www.youtube.com/watch?v=7_oaIHfUsOQ|https://www.youtube.com/watch?v=lqxLVS9m2jQ|B3 blendshape/bone/bindpose-preserving skinned merge and regression hazards
b4_anchor_gameview|https://www.youtube.com/watch?v=PfpE5dNTWeI|https://www.youtube.com/watch?v=kGEWpJU9Cj4|https://www.youtube.com/watch?v=vuXxfnCM56A|B4 primary class anchor size/readability from real top-down game view, not an arbitrary percentage
b5_weapon_identity|https://www.youtube.com/watch?v=PfpE5dNTWeI|https://www.youtube.com/watch?v=fhidSUb7A_w|https://www.youtube.com/watch?v=VlUVzdrEzVg|B5 weapons as primary identity carriers, silhouette and game-resolution budget
b5_weapon_asset_pipeline|https://www.youtube.com/watch?v=UEeDBndWwys|https://www.youtube.com/watch?v=Yxr7RZgOB5M|https://www.youtube.com/watch?v=fhidSUb7A_w|B5 weapon game-asset pipeline, geometry versus baked detail, material sharing and LOD
b6_shield_attachment|https://www.youtube.com/watch?v=62k9seQdARA|https://www.youtube.com/watch?v=eC1d2VlgrAI|https://www.youtube.com/watch?v=PLWv9yjVaoU|B6 shield/backpiece attachment, transform/bone ownership, contact and animation verification
c1_recognition_clarity|https://www.youtube.com/watch?v=PfpE5dNTWeI|https://www.youtube.com/watch?v=vuXxfnCM56A|https://www.youtube.com/watch?v=kGEWpJU9Cj4|C1 human-recognition test preparation and production character clarity cues
c2_gender_class_read|https://www.youtube.com/watch?v=PfpE5dNTWeI|https://www.youtube.com/watch?v=62k9seQdARA|https://www.youtube.com/watch?v=fhidSUb7A_w|C2 compare same class identity across male/female body proportions and equipment changes
c3_visual_bands|https://www.youtube.com/watch?v=KLuyf9gqCik|https://www.youtube.com/watch?v=A6mdaOySVQM|https://www.youtube.com/watch?v=vuXxfnCM56A|C3 visual tier bands under day/night lighting, material/emission parameterization and perceptual collapse
