# slug|url|topic
p1_zremesh_hardsurface_1|https://www.youtube.com/watch?v=ROuPDJcC2Fo|P1 ZRemesher hard-surface retopology: ZRemesher workflow for hard-surface edge structure and polygon density
p1_zremesh_hardsurface_2|https://www.youtube.com/watch?v=XWflWTiOBhw|P1 ZRemesher 3.0 hard-surface: Keep Creases, Detect Edge and preservation of sharp structure
p1_zremesh_hardsurface_3|https://www.youtube.com/watch?v=u75skb32GTo|P1 ZBrush Masters hard-surface: clean method using ZRemesh Keep Groups, Panel Loops, Dynamic Subdivs, creases and ZModeler
p1_zbrush_shell_design|https://www.youtube.com/watch?v=CiL5MKvpQA0|P1 ZBrush hard-surface shell design: clean shell construction, panel boundaries and concavity preservation
p1_quadremesher_character|https://www.youtube.com/watch?v=MDaDsmRUUpk|P1/P4 Blender character breakdown using Quad Remesher, weight painting and corrective shapes
p2_hardsurface_pbr_games|https://www.youtube.com/watch?v=UEeDBndWwys|P2 hard-surface modeling for games and PBR texturing: what stays geometry vs bake
p2_normalmap_dithering|https://www.youtube.com/watch?v=6D5tBEjS-N0|P2 hard-surface normal-map dithering and low-poly shading preservation
p2_character_hardsurface|https://www.youtube.com/watch?v=fhidSUb7A_w|P2 game character creation with hard-surface weapons/accessories and game-resolution decisions
p3_ffvii_hair_normals|https://www.youtube.com/watch?v=w8SjXHQ8ASY|P3 production character hair breakdown: hair cards, edited normals and in-game appearance
p3_urp_hair_shader|https://www.youtube.com/watch?v=EmU62lWMhSU|P3 Unity URP hair-card shader behavior, transparency and realtime lighting
p4_armor_weight_paint|https://www.youtube.com/watch?v=62k9seQdARA|P4 clothing and armor attachment to an existing rig: transfer weights, manual weight painting, deformation testing and body-hiding workflow
p4_weightpaint_blender4|https://www.youtube.com/watch?v=PLWv9yjVaoU|P4 Blender 4 weight painting: transfer weights, influence cleanup, joint deformation and topology dependence
p4_cc_blender_weight_transfer|https://www.youtube.com/watch?v=eC1d2VlgrAI|P4 Character Creator/Blender clothing weight transfer workflow and deformation verification
