# slug|url|topic
b1_zbrush_game_res|https://www.youtube.com/watch?v=hS8xKZGF0U4|B1 armor shell reconstruction: ZBrush modeling with game resolution in mind
b1_zremesher_game_ready|https://www.youtube.com/watch?v=-0c1e-hNsa4|B1 high-res to low-poly game-ready using ZRemesher
b1_blender_geometry_repair|https://www.youtube.com/watch?v=h-_GhIbGuh8|B1 Blender geometry repair and imported mesh cleanup
b3_riot_character_art|https://www.youtube.com/watch?v=PfpE5dNTWeI|B3 official Riot character art: proportion, readability and silhouette
b4_game_asset_optimization|https://www.youtube.com/watch?v=VlUVzdrEzVg|B4 game asset optimization and LOD decisions
b5_armor_modeling_gloves|https://www.youtube.com/watch?v=hQhTGMk47qI|B5 game character armor modeling with hands/gauntlets context
b5_maya_gloves|https://www.youtube.com/watch?v=Ob7W3xTO_kQ|B5 glove modeling topology: fingers, palm and cuff
b6_ai_to_game_uv_bake|https://www.youtube.com/watch?v=wCZcYKI-tGg|B6 AI-to-game-ready UV ownership, seams and high-to-low baking
b6_marmoset_bakes|https://www.youtube.com/watch?v=Yxr7RZgOB5M|B6 Marmoset high-to-low bake workflow
b7_hair_cards_quick|https://www.youtube.com/watch?v=uSKwzcqeUPA|B7 low-poly game-ready hair cards construction
b7_long_hair_cards|https://www.youtube.com/watch?v=Lnm68sRHMnA|B7 long hair construction and card-density decisions
